,JOB_TITLE,LOCATION,SALARY,COMPANY_NAME,LINK_TO_JOB
0,Software Developer,Remote,252516.0,Rasoi Software Infotech,https://in.indeed.com/rc/clk?jk=67ee6a847e7ba86c&bb=HQ4TSVJFNDeq1qwwdh-C2NBA5eEhuuCVlb8E-rJhjR9H9M6Hsow5H_CaB2OCPjVKENcLorUIqkUHAf5ZnkfBHmRT00p1pUOxMMk0UhyMmgegAftrBT9Cl7erDV428fKwE-iOzM23h_KjCPqHi54POw%3D%3D&xkcb=SoDB67M3sPkSo7z7qZ0DbzkdCdPP&fccid=f1f6ae8b73e44d29&cmp=Rasoi-Software-Infotech&ti=Software+Engineer&vjs=3
1,Flutter Developer,"Gota, Ahmedabad, Gujarat",288060.0,Devine Globe Technology,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUPzQN3EvKY4viqlQ3xLK3y3DivaFTR6hTqSqQyYBTJytOeDzJuOC_FmMDsPUpI71xjRi2643qB0WeeczIi5-eWdFBSpJ2TBQTtiZCGwK7E0lg-4oyylPqrLjvYYwfkwoUemVKCNaejEUVrcrdA41W-6s6XgbbZURU9IWS--OXjg-U4ShefbwLvNxiDkN7LSGKqvpp-AfWt-0bE5isQVFoDxy_FddfSh8QI9MYBWNBRAPXGOUsO3MYEQQQ2R00qKsbqdf68VYIF_ME6BfAYvcQxkaXY-k8rowxy1WG_S2k_ZFlskh357NwuNuRmdQYjkXz1bzjAYkUyKQGbWgLtzogcZ9fsvyVaFQA1-Ikt_Cez00C2NETQQuEej0R9MVDKl1LM6qKqpjgvihH6NKsKIDcK4LKGTcfG40-B9-CmHkLZrUO1gFcSO_H2z4WUlCK0fXcTUJfuWo9vBWht8vPbqWndIoTklF_5-PzKbvMNsFIVPSkBADGVfNyT9mce0kw4OZeGeQGqw4vVD2Ycqo0rPjxNDcgK0CJcdqqFIdfztcq3pO8XcqCKb7PskuRZ1GOVzaC-rZDJhosoQBMyHFB-QF8AD2Z0-FcMvR29ugkSQOJmrH0l1BIwFwxshFK_Udnwao=&xkcb=SoDm6_M3sPkSo7z7qZ0KbzkdCdPP&camk=UoKtGZLa3XKsk4glGOsgeg==&p=1&fvj=0&vjs=3
2,Junior Software Developer,"Remote in Surat City, Surat, Gujarat",420000.0,Do Basket - Mobile App,https://in.indeed.com/rc/clk?jk=3c61e200878b9ef9&bb=HQ4TSVJFNDeq1qwwdh-C2EkKKT5ddSlfPh-VKBd6z_aW40wI4pzHSaEs7raPEu_chH6Yh_1By5v0y3bPLgWVE4lYatjdDLJplg1_uutxJGQjVITsdurV_NNSIpAHMpR5I8dBTrhsRdyylP-2lTSVCA%3D%3D&xkcb=SoB167M3sPkSo7z7qZ0CbzkdCdPP&fccid=b7583a6341c88e78&cmp=Best-Mummy-Sweets-And-Cakes&ti=Junior+Software+Engineer&vjs=3
3,Sr Software Engineer,"Remote in Pune, Maharashtra",N/A,Zendesk,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0An6TE4nSNopf81v8h4GOnemh63Iw_8cinpVUxcVYAn6sHOf2KtlCGLc4fsMG9Z1yYdtLR4ja2YTCpT8L4qLQ_kF4mloMzy-mfQkeZCd0FmcGQDGUnf6e4kL_utnu8u2gEjnjUT51DKnxAkwLRG6FVWbEc79sURFkhAhJ9ss9mFtE5qVpl2lsHa8vs1QXdWndDELnu-Bi9aFARHbDl49vv_w5JXGMufvg9fcqQV3uMfUcULroY5L93eEhA9JX99F7kpGTkyfxIHxPPsYkI1HxDPHDoM0srJBI-GytQpT26OSZYdOCLpBAgQncRdI00KiYu9YCtQvtgNaJHMW_ctTNCTk_sMK6zkeHJqkdZTVnpA2z53i1QLIOpG3bt-2SjfR5GNUBaMfxy8yPNOjrk-wW7ERjCBmIl7Mq2UHVKMuwCaELuZ7PQ6kp0dIRV1Q_LIuwOluTbMfNejute52G4QXiZQsm5svYvyCKVkJgXFBwPPS-PhP9WCNj9VqQZ9ZXPmeQiU0V1-5n9tT6zNt14NOT0NaHSOSnZYhpHw17Mi1ZlIdyMYl0VDT0gxD-_RswVe18gQ8ZLjLWYNBmsp8Lb7lEHmf2o-kKGqk7EtD65Y88D5siHDF0QIHsYrnWjgvapF8tQKrDTt3EhRNO4v0r8-Pu3gujPgVI9fNG12LRQ0CgrC0ubN411TS1poe-LRysKjrigwAzWfGjLNQUcC3rsyJFqfkI0rPjE0wqVOVyBuLH3PJS0ydqwkcDr-Tc0aORmGUiTZbv3Y2jM7BtirGKcirSBDHwZyvQVGKM2jX4ryiQcNTXUAuuW0uWp7vcmjfLl5vsRpVMzM8Ae_ek5dtbXrJEdxd8menfp9qylF_Kx9LlkwZvJtcH47FXhRMGom13fECc5oD-VwhvYF-U3-Bsge7Aja1a7s81nxqb4Yux6hFixOelEH5HyxL9zwEeRZP8oxMI6WgKjCXvCcMl71bH6md7p1Nv_74MB4Vq3s686FXWNEdr28CpQ59OJrtv4Or2FmAKdUXmYxIrvcBe39F00tk5-62CAD8UOSgD-UfirNKhAOk0e7P4vyv7lpWaox1pL6dcq3jwzzkmUDGCIPuclbwhQHaVu1QwwP8yQaMVUSniZ49EfRhQT2iR2WmY4QLNoI7_iaXa8L64a4WXVTPL1Tos1iTprrVwYaZ4ZnHzJkzQYD4xvu_eAF0t061urjeM96BNJXMBApf_28Ogdyb5WYweG52AKmd7Im0nXc_hftECwzzltCIhXyPxnv&xkcb=SoDc6_M3sPkSo7z7qZ0MbzkdCdPP&camk=UoKtGZLa3XILVxi3wsLnQw==&p=7&fvj=0&vjs=3
4,Senior Software Engineer - Data,"Remote in Pune, Maharashtra",N/A,Zendesk,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0An6TE4nSNopf81v8h4GOnemh63Iw_8cinpVUxcVYAn6sHOf2KtlCGLc4fsMG9Z1ybwZg9PJNJ-HJF1piI8XFX3r38xbxDHHXz8ZUpO4Et6CdvsXvMNIs4dlzTrjENNHf6Mi_-RE_DM-wlvqem2LAN6UyeFFHT8G4lyvpXt34AZjLfC173J-kB1mRsYMyI56xrvCaurpd5rTNQbCRnr6NaRdKfcVqHSlZLJbnWpO5_qlQpToBFeSPc5nInIeuhdgR2T8LefGrtfhzBGjHsV8DVRF64rapqnHwLXffa1esvNVU6SRziVqZIMBm4q0SxPV8ADarfcG8K6ZBceBkrrJ_A1-46ax5dn1WkWJInSzkluUdh1UfVp3SIWqOoUH1biG63MYCsuobLGDIUPq3PjyX89D5MDDzUUTaqQp7WJkrC9hdDkppt6WXC5T5Y7FRlpFLm3_G5zK6yoL8EMGPx_oF_aiTB5M8vqNIiWbXt_6SnUXxwKViQ1TsBbi-Wc4KOFSm8MqxSGi9aoX4dmHdqQX0ixMzf6bOCJYjtFKqTlOGwHfUJoTX9uqXQgvTaZq-M9BlC37acvhoWr2utLZcXEIC2nBSv1pjb4pt9EK3tP8yg8H3fhHUw88Fbyx87ABYTFQ6dbBRikTJC0Gvjnt8kTGNtE5vpLAf258-7ExuEY7JfsMcnBiVhrwyMM250wrrp0KwUx4bbwDLQL7o-CITHrBtvLuqQedpO9egaZfZCiIjo_343GunDDj9MeGr7G2cEjmT4rRDuunEFOOcMeu9SMKoN4Ee-9Gye4UQKJ5ypopCtTwdQubJ1h39sM9T31_zeBsUZ8dPETQEHq8ooPjAjjDdZOePYxZ7tbih3wdSre17Htu4QJ6Y19Dptct_TBYncLYxN2MCwjj088wl757lfxaapcAlEZUOYedsNllEYggRf32ElpaxpMcA206Kfi-h3OePUvQ1j6h5jHh0nviTPSm2jNAn9EIPfDFqxBdw9-xFCWm5a4moY4-gfMsxqEx18Wo3SxSxWVOLHWa6CDc0dl_I-uFDk6IzM2B8Lc_ZrUiZiRADLnkNS4JrHg-rVQtbl5wcocI19Ce_jL4hvyP4CvOR7vtaR-GwX-anvXhvIDLDEnd2zWjULGQOUPKS4O9o1-K4r422WYLths5HvJtsxg3O6LhjY8ZRQuiVUS9-0cj6BY0VCR2y1SEP4-tZwd_2u-9Gz9hQOesvUJRKbbNreF1vwD4qG0eGzjKSsNT3p1IL-KbjUAYQcG0x-F43iJ1NAmLmb_sOLDJe8sfd9ZGttw3tlY&xkcb=SoD16_M3sPkSo7z7qZ0ObzkdCdPP&camk=UoKtGZLa3XILVxi3wsLnQw==&p=5&fvj=0&vjs=3
5,Staff Software Engineer,"Hybrid work in Pune, Maharashtra",N/A,Zendesk,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0An6TE4nSNopf81v8h4GOnemh63Iw_8cinpVUxcVYAn6sHOf2KtlCGLc4fsMG9Z1ybwZg9PJNJ-HLqp45ShZ9OHqTfD1TX7opePXxsJz9tHBVzD1Sac-iJA7IMhMxICSD4vmrMq2_8hrrjMfVDo1lyVptiLuYjN8EaqQRbRAsqmZ9DAI2t65eOBmQ3XXq2NeDo_mphZVfam-LO3BtAK5afNYUOMwNOXFdfR5KtwYxK_Q76hAOJJR8wOEKso4f4gKGKOjYVy8vQniiaBlm6RyywbDA2LwLcJMB6xCh0WppgMRrjPXBrzVHjZdDV8dd07FVg8Ueh_eZ3T2JbOlVIxdmum7NgLaOYVfFaU8p2E2mNn6Lh1ctZ6FKII7ZAbYFoTWvbTUIOnxGvXzqd4qp0BswROpCMaLqMKITv1IzwMkUehTc10yDgBcoz2_t0Dqopt4V1Mx1Yi45r1hs-IuGhEKK3meT18NUa8AyDoFfXm2zJQHFRct58lrO-lWA6YqmKhKTMaY0ncwkjsX8E73oAAG3gYgj-IPSpZHdEM8_Zw6thzC7jTMQJgjkD_tYc7BHGmQWcNYROCmPAObmgJkV2Fb6hNhd7QNgF7bdHnksFKUOkHO3jh-wuwPBsr21quMcajBTnZbBmbap8yQO82CMSbrI6xDPmAKiQuQKBEH2JBlxTaduqcyY8BqMA_IhyPbfkxPvZndpnb06AsqTrcRa9eq499C_DhsGZfvsy1KeI8oYMHhNUwF5F58BaoV8OCRj4dUKe21EMeyL97fVMXJYqKLZyRDWNBcqxT2VuUPkDFtUisqbbXkiywIeZLlJUqbcdnkmrvTkt74ayoc0_kSuUreRSwfYEf0cayA6TQFP2gVnwVHKQpgjvM2Zg_Cd7TDYojfcBg9kLFa7oj9ObwfeBcn-KPccoBBg4doppr-ZLWVIeZQ1NPXD8JuesnBs-H1T50anFr3CyXlrhepPSQnatPBfQX6_8LiySSAYby1wC3E68RonqP0r6QX7jtlgyw82EIyWsJkRcOFabNd70rff6uTC3yxz2i0cBZwp6XM1aLYb5y7mAs9Lsq0K0KD-lRcL6dSioFv_3-StotZ9GRH7f0-q6u-omJBD08FDqOI53835KqO_1zn61mg2FIJ-u-xSSIwtdBntH9dOXyRpBdzCJcUmfXC59UDzjaiqHmB77k6TUINw6nACmwFdNsSElSEYkYh19xMtX2pkmJabqJKHX1YZYmJimiKPRq8dPg7UES-Az-j-rXKLYzq4rM&xkcb=SoAm6_M3sPkSo7z7qZ0HbzkdCdPP&camk=UoKtGZLa3XILVxi3wsLnQw==&p=12&fvj=0&vjs=3
6,Senior Software Engineer (Fullstack),"Remote in Pune, Maharashtra",N/A,Zendesk,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0An6TE4nSNopf81v8h4GOnemh63Iw_8cinpVUxcVYAn6sHOf2KtlCGLc4fsMG9Z1yZR9TTOfRgIGOuFJNPMDbH7J3KhhGz7cxFxVt_RvNUog1jV-fKtACe-umwOnlUWjlJvjUGobjoUuHXQIr0Gp2Y-Y6fvzcJBvBI9wSTbcMnO5eJqJ7u9O0-j-OvQj0vW-2sQN6XEawDuFYX-QNJARbSLrkYv_a-vIXULvPx2c9dADcs9kYhQtKD5A3jcOPPfF4La6nBqwMEhrwhHpsJT6I9R3vX8TKMb9BBWpX_SvntEAoUXUwuFltuiz4lJFkQhgGTWa2w-a7EMY2sxChfamdsL-jNQqovamMGIgtBjClO9eHPOZHFjw6QShZXa-sG8t8QDC7yKB1LUj2dMXwtOog3S8qhfxxtXeKtE6c8ZEcp4F2y5vF7DqtBtKa3vuF6IW__nLMMXO-4H-0gycPjfQVmcXUvBFKsIFemEmrBHfGN3kimHPTkox3t6AsHHp1l90aCzM7_RaT1Oyv5gX_tgcEe_Mh9WDiruaBqSNIyhlsh4AHbP4pGpbFN8J_BynDNObnye-NzvWacvN1YgwbAYL6Cr1VSj1MaOMniy7cVMZNAT3QFsJmV12r1ifxD5U3LSLgyNvm4CBlxh9y5jgwvoadsgiT0ERaqUp8VIVZMvBnsrbyh4NQ0bwnYZXayJi9komDrXiishdDvzVhmUDLkFCjZgaqnlqqFYitcbfssX1X2zYxIlJQU3zHO9y-Mci1aXm4jA65t3zvqweHfhmZulzJaaj7Edhr5Qrb9OjEiz2_52zd_TGl4UT4Rgk33WTLdNg-xV09KTGx-Of1ZxLxaOoJVy2sxs1TDj2utW1b75ZaHAS2YVV0qMgnQgvzDoen7tGhHe7a4bFm-Y4qEspmlPGmrMrTj-9WZMcVHeB7nwzCCzZt3GHKdD5miLVOiVWRipngNxWvaRLZqhHBbwgUmehSadBb66b-O_qbeycdXjlUze2fLr5dGxtEqvCd7ViIo1x8zRxAC0mRXOHvg_84msqYQBR3CUVYH3cy4-8aQr3PuzIhyTFfk8t4aV9P-4BikSA4fpM8wZhM8VVe7H-gQjaS7sXVlfzEzhc9aghBBSpNb7NNnoIjm3k-YJJAh8RmfBzxVbMO1FwKwY8ODpPIUKlnkAcrxqmHswQBJwO90qckhvKzogOSzWALjxailhgFgAhGePjfT_G92gBhgO8PVq11oPPlvihPMbTrPofcwXkkcA5JvP34SV-q1EpNqEmjat0-Xpir5z9deEJg==&xkcb=SoCS6_M3sPkSo7z7qZ0GbzkdCdPP&camk=UoKtGZLa3XILVxi3wsLnQw==&p=13&fvj=0&vjs=3
7,Sr. Software Engineer,"Remote in Pune, Maharashtra",N/A,Zendesk,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0An6TE4nSNopf81v8h4GOnemh63Iw_8cinpVUxcVYAn6sHOf2KtlCGLc4fsMG9Z1ybwZg9PJNJ-HMibOxHl2OX--AA4C8_2_AmYde3F6AF_nFM0uqp38qUDWDIz01xXtPMFvwmBADe5IQ3D3GEW31RUiDIYa-KgKT2mnDGCOoC9uFZFUNn_g-J5aVBz6UBDJBu5pzXXCXBjRcn-JPErHLV1kHhuXZt8gk4ilub-tkddMkhebkMbZyKGYOCfvhvyqVt5Ar6Owg2KcfUPQR9YVr9N6PlZ1MRBzHT_A16VudiOQRdp-gwUOSvynMg2njylmQZu1RMbqL9f_gprM7bFFABNvGW1uO7Mryx5N0Uai7uKzM79yJJ2Lop5TDVxZStv7BJ_GX8_AE-ASpef0hOXDPrr3XYQdK-zqA-n4xZ66crL_4kTJuihEVzvcRw26FeSITM-503Ft13dQoOA88-Gs3ncU7RCbPZKXEJF5MfZDBNs2Zwc-RRLA9_3QAvDMe1w8pUnp4E_J87hGvui2PRRxa_t-Q0q3DHiWFwXUXINuL9lIl9tFHgIeVHNB0PVbAQ2Z806Z_EgjM8PZtSHk1k_cv6EciU-aGI1v0PeXr2DlXTRc1Ak10JyFVFCqNlafFWppfNOsiwSnp0EwyYk7eSQ7OO2u57tKt74iul81xIJd9e2E9owRRl1Git41QEtCuiSojLP_93VXdUxV3m-4VbfbZ2InurBVPjwjcTJGQuiw-XDaHOD1siKYx-ZauModxJ7W4zKwPT7G1UkEQw3IjXbPYr8_AE38raVWgs5IA-_NmqSk73EEyOcLWDwkZj8HM_aXHrA0zCHggwc09uPaSlUoTxOIkcSV3mJIH9CYHFr79tkLVYTq0YLsKtZUD7PB6xklaMASx4UmHbl5SFXOCZevmMZjId8e9tWQ73QRX1P7YIRChkkUfKnWacJz_pRlQsKHVbOrJmTY7sc7V7vApNcCXNzloVB9D_z3-jwJgX8aNyBtS1ghUVYhcixjjB5m4xzyrFK7MNj1Hr-T0GKlqQXWAbPcWi-BBWg3mhHvaRsi8_JSFiHihzEbrFtmffqXD6mGTBithUl0e-9n_UmLpd_mxdg88HDjUxX1ieJWvp7g7MVCuvNB7vPlz8Yt1Ix3BhrE6H7q5tVqppXcvIoOAmc95_y0g6WzzZ9bZ3H8nsoE1tvx5TdZSYOzdviUqtaA_UGlqYmA2UKjlYzw9TWPD3wBme7qdf47M1UFsTyi4JvYXxcZN3RycuEA3X5&xkcb=SoDP6_M3sPkSo7z7qZ0IbzkdCdPP&camk=UoKtGZLa3XILVxi3wsLnQw==&p=3&fvj=0&vjs=3
8,"Software Engineering Intern, University Graduate",Remote,480000.0,Ecoh,https://in.indeed.com/rc/clk?jk=5f1db8e566f18f69&bb=HQ4TSVJFNDeq1qwwdh-C2FxF9NURX9W8PsaAm8o4GYU0pr1vqAaHBywP5CqVpiJS2V0-OctJPdAzWjxGX1__sVykvW0OPR-izEvJIbwSVAYXgcqETS62hF53w0s1Kw3WSJ-oY15oAyfpgtP0JCGezA%3D%3D&xkcb=SoD767M3sPkSo7z7qZ0FbzkdCdPP&fccid=e35e9b749f873659&cmp=ECOH&ti=Software+Engineer+Intern&vjs=3
9,Software Engineer I,Remote,2700000.0,Indeed,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CMCQQL4xeZod6kzlvTiVGj2JaJmH6Sz1YmRnFlBx4Aqgrtf3MNQ-DPZlnTDMrETMtibMbDdJQw98SMw1277nQAPn9uk7SBRoZD1homvUIw_YIYPT6HGSSY-r3cUiYqdSHk7TmrhLjj8HZHXx4Fud80piuJ66jDDBeX356no0X0mCG-wET3wbldQEs_g2vXUDR1Dq5xqlsFTCE_ovNHX_7kH8y0ADlPYSxu6NY_Smo0hYeDqtWoEOHhFENApqUfCKcnhL9JAVFFHuUasa9vL9FbMc9bSn8jrdj-iV3dJ8KfK6V2GDhB7Dfn7QTcifoLzCXEQf6-6JrKO1lnWubxlRkBaVE2OUHfOwOrQaz-kQxSQlu8Cu8b6mdjt6W4OQ7nmC2gclZaEBzreYxfb42qmrlsrvChyIucypWGQ1alhhPHmYP0eYiTffIN__caMarbG3EaQUfDtZjr_gaNWnBSJUgZ8E_ixJxcPQwH3aEwr1LcYunYGAsPb91m9vxvAkLzwikMxcKUixUzjFeopl3l1KXV_aOv84_DXtJP2smg5vuEGgA9z5Zj_2SAHXtEFAt_6KXEkeWpT1iaj60FY5lz6F7ioRn0Nms6pknL6A2n1arU_BYEHqd8Pc-IdmzadSFOKSA=&xkcb=SoCo6_M3sPkSo7z7qZ0AbzkdCdPP&camk=f416UQcMBpDfGSQ-AQhbtQ==&p=11&fvj=0&vjs=3
